baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,miRNA_name,standardized_mirna
0.098631592,30.0,4.021506492,7.459890978,8.66e-14,1.91e-10,hsa-miR-6877-3p,hsa-miR-6877-3p
499.782198,3.199437988,0.7343528,4.35681322,1.32e-05,0.014516677,hsa-miR-1269a,hsa-miR-1269a
0.071281657,-15.87845051,4.018958881,-3.95088653,7.79e-05,0.057098973,novel_594,novel_594
978.7511159,0.58831944,0.214693616,2.740274488,0.006138789,0.99990023,hsa-miR-223-3p,hsa-miR-223-3p
79.69408575,-1.206470126,0.441390043,-2.733342415,0.006269512,0.99990023,hsa-miR-373-3p,hsa-miR-373-3p
527.3680815,0.721988755,0.26671949,2.706921622,0.006791029,0.99990023,hsa-miR-574-3p,hsa-miR-574-3p
0.096578544,-10.8448253,4.018735219,-2.698566766,0.006963877,0.99990023,novel_1090,novel_1090
335.7588601,-0.486076572,0.181633343,-2.676141752,0.007447514,0.99990023,hsa-miR-519d-5p,hsa-miR-519d-5p
304.2044667,-1.857076456,0.697882123,-2.661017375,0.007790494,0.99990023,hsa-miR-1299,hsa-miR-1299
0.163545808,10.3587968,4.027847278,2.571794829,0.010117283,0.99990023,hsa-miR-4784,hsa-miR-4784
1.798191116,1.477324365,0.578360259,2.55433243,0.010639163,0.99990023,hsa-miR-6859-5p,hsa-miR-6859-5p
8.426860319,4.15088442,1.653449782,2.510438759,0.012058124,0.99990023,hsa-miR-548x-3p,hsa-miR-548x-3p
8939.188352,0.58894478,0.236908091,2.485963129,0.012920135,0.99990023,hsa-miR-1-3p,hsa-miR-1-3p
2.337679919,-1.494997115,0.608683916,-2.456114044,0.014044858,0.99990023,hsa-miR-3940-5p,hsa-miR-3940-5p
15.10655862,-0.736874531,0.307211823,-2.398587805,0.01645843,0.99990023,hsa-miR-301b-3p,hsa-miR-301b-3p
23.23601302,0.839209771,0.350765661,2.392508345,0.016733648,0.99990023,hsa-miR-450a-1-3p,hsa-miR-450a-1-3p
12.23744921,0.798268304,0.333785058,2.391563927,0.016776762,0.99990023,hsa-miR-320c,hsa-miR-320c
82.96221147,0.473419716,0.198581582,2.384006162,0.017125316,0.99990023,hsa-miR-497-5p,hsa-miR-497-5p
2.854318367,1.290425782,0.546861963,2.359691969,0.018290115,0.99990023,hsa-miR-5699-5p,hsa-miR-5699-5p
239.3679219,-0.467290092,0.199138003,-2.346564114,0.018947406,0.99990023,hsa-miR-576-5p,hsa-miR-576-5p
0.114844225,9.2273688,4.025165117,2.292419946,0.021881422,0.99990023,novel_517,novel_517
5.677904783,0.954166603,0.416806788,2.28923,0.022065992,0.99990023,hsa-miR-134-3p,hsa-miR-134-3p
21.62350841,0.653846233,0.286761644,2.280103522,0.022601549,0.99990023,hsa-miR-1246,hsa-miR-1246
48.97328529,-0.511815825,0.22493051,-2.27543976,0.022879563,0.99990023,hsa-miR-93-3p,hsa-miR-93-3p
4602.511907,-0.75717096,0.333089562,-2.273175286,0.023015619,0.99990023,hsa-miR-27a-5p,hsa-miR-27a-5p
347.5164632,0.615927261,0.272543618,2.259921787,0.023826105,0.99990023,hsa-miR-195-5p,hsa-miR-195-5p
70.63268563,-0.88475238,0.3957913,-2.235401285,0.025391016,0.99990023,hsa-miR-138-5p,hsa-miR-138-5p
65.29893051,-0.528231878,0.237324469,-2.22577925,0.026028971,0.99990023,hsa-miR-4713-3p,hsa-miR-4713-3p
3.354490139,1.134318306,0.514074936,2.206523264,0.027347383,0.99990023,hsa-miR-18b-5p,hsa-miR-18b-5p
648.0633538,-0.712603493,0.323295733,-2.204184654,0.027511361,0.99990023,hsa-miR-365a-5p,hsa-miR-365a-5p
3.466690355,1.084584759,0.494774899,2.192077166,0.028373935,0.99990023,hsa-miR-548am-3p,hsa-miR-548am-3p
1.02070083,-1.843974018,0.853834191,-2.159639467,0.030800591,0.99990023,hsa-miR-5708,hsa-miR-5708
2.191994644,-1.260504314,0.589138365,-2.139572617,0.032389322,0.99990023,hsa-miR-1302,hsa-miR-1302
124.2635412,0.631924396,0.29539925,2.139221397,0.032417742,0.99990023,hsa-miR-214-3p,hsa-miR-214-3p
130.5366575,-0.485868578,0.227809094,-2.132788337,0.032942093,0.99990023,hsa-miR-31-5p,hsa-miR-31-5p
1.240983768,1.558595222,0.7521299,2.072242071,0.038242872,0.99990023,hsa-miR-219b-3p,hsa-miR-219b-3p
414.4227666,0.401218901,0.193874682,2.069475483,0.03850149,0.99990023,hsa-miR-27b-5p,hsa-miR-27b-5p
7.115501211,1.007457395,0.489392165,2.058589137,0.039533614,0.99990023,hsa-miR-5683,hsa-miR-5683
5.099712153,0.767462369,0.373581067,2.054339569,0.039942838,0.99990023,hsa-miR-874-5p,hsa-miR-874-5p
392.4640031,0.409673301,0.201708184,2.031019722,0.042252994,0.99990023,hsa-miR-652-3p,hsa-miR-652-3p
0.765365987,2.038801482,1.010296131,2.018023646,0.043588799,0.99990023,novel_1294,novel_1294
1.193262435,1.683946556,0.836282009,2.013610885,0.044050403,0.99990023,hsa-miR-3679-3p,hsa-miR-3679-3p
0.498172948,2.593041989,1.292446264,2.006305455,0.044823668,0.99990023,hsa-miR-4664-5p,hsa-miR-4664-5p
37.14082492,0.578626618,0.29133091,1.986149075,0.047016773,0.99990023,hsa-miR-151b,hsa-miR-151b
29.53697089,0.537984795,0.273229547,1.968984688,0.048954849,0.99990023,hsa-miR-32-3p,hsa-miR-32-3p
0.630323818,2.095091267,1.064746897,1.967689479,0.049103777,0.99990023,hsa-miR-3667-3p,hsa-miR-3667-3p
