strategy,split,validation_auc,auc,accuracy,precision,recall,f1_score,param_hidden_units,param_learning_rate,param_l2_reg,param_dropout_rate
data_driven,0,1.0,0.56,0.4,0.0,0.0,0.0,8,0.0005,0.001,0.2
data_driven,1,1.0,1.0,0.8,0.7142857142857143,1.0,0.8333333333333334,8,0.0005,0.001,0.2
data_driven,2,1.0,0.8,0.6,0.6,0.6,0.6,8,0.0005,0.001,0.2
data_driven,3,1.0,0.36,0.3,0.3333333333333333,0.4,0.36363636363636365,8,0.0005,0.001,0.2
data_driven,4,1.0,0.8,0.7,0.6666666666666666,0.8,0.7272727272727273,8,0.0005,0.001,0.2
data_driven,5,1.0,0.8800000000000001,0.8,0.8,0.8,0.8,8,0.0005,0.001,0.2
data_driven,6,1.0,0.7200000000000001,0.7,0.6666666666666666,0.8,0.7272727272727273,8,0.0005,0.001,0.2
data_driven,7,1.0,1.0,1.0,1.0,1.0,1.0,8,0.0005,0.001,0.2
data_driven,8,1.0,0.36000000000000004,0.5,0.5,0.6,0.5454545454545454,8,0.0005,0.001,0.2
data_driven,9,1.0,0.48000000000000004,0.5,0.5,0.8,0.6153846153846154,8,0.0005,0.001,0.2
data_driven,10,1.0,0.24,0.4,0.42857142857142855,0.6,0.5,8,0.0005,0.001,0.5
data_driven,11,1.0,0.64,0.6,0.5714285714285714,0.8,0.6666666666666666,8,0.0005,0.001,0.2
data_driven,12,1.0,0.56,0.6,0.6666666666666666,0.4,0.5,8,0.0005,0.001,0.2
data_driven,13,1.0,0.76,0.7,0.6666666666666666,0.8,0.7272727272727273,8,0.0005,0.001,0.3
data_driven,14,1.0,0.36,0.3,0.0,0.0,0.0,8,0.0005,0.001,0.2
data_driven,15,1.0,0.8400000000000001,0.8,1.0,0.6,0.75,8,0.0005,0.001,0.2
data_driven,16,1.0,0.8400000000000001,0.6,1.0,0.2,0.3333333333333333,8,0.0005,0.001,0.2
data_driven,17,1.0,0.76,0.8,0.8,0.8,0.8,8,0.0005,0.001,0.2
data_driven,18,1.0,1.0,0.8,1.0,0.6,0.75,8,0.0005,0.001,0.2
data_driven,19,1.0,0.76,0.7,0.6666666666666666,0.8,0.7272727272727273,8,0.0005,0.001,0.2
mechanism_driven,0,1.0,0.8800000000000001,0.8,0.8,0.8,0.8,8,0.0005,0.001,0.3
mechanism_driven,1,1.0,0.56,0.5,0.5,0.4,0.4444444444444444,8,0.0005,0.001,0.5
mechanism_driven,2,1.0,0.92,0.9,0.8333333333333334,1.0,0.9090909090909091,8,0.0005,0.001,0.3
mechanism_driven,3,0.9375,0.9600000000000001,0.9,1.0,0.8,0.8888888888888888,8,0.0005,0.001,0.3
mechanism_driven,4,0.9375,0.8400000000000001,0.8,0.7142857142857143,1.0,0.8333333333333334,8,0.0005,0.1,0.2
mechanism_driven,5,1.0,0.92,0.8,0.8,0.8,0.8,8,0.0005,0.1,0.5
mechanism_driven,6,1.0,0.64,0.7,0.6666666666666666,0.8,0.7272727272727273,8,0.0005,0.001,0.5
mechanism_driven,7,1.0,0.72,0.8,1.0,0.6,0.75,8,0.0005,0.001,0.5
mechanism_driven,8,0.9375,0.8,0.7,0.6666666666666666,0.8,0.7272727272727273,8,0.0005,0.01,0.2
mechanism_driven,9,1.0,0.6400000000000001,0.5,0.5,0.6,0.5454545454545454,8,0.0005,0.001,0.5
mechanism_driven,10,0.9375,0.6,0.6,0.6,0.6,0.6,16,0.0005,0.001,0.3
mechanism_driven,11,1.0,0.88,0.8,0.8,0.8,0.8,8,0.001,0.01,0.5
mechanism_driven,12,1.0,0.92,0.9,0.8333333333333334,1.0,0.9090909090909091,8,0.0005,0.01,0.5
mechanism_driven,13,1.0,0.8800000000000001,0.9,0.8333333333333334,1.0,0.9090909090909091,12,0.005,0.01,0.3
mechanism_driven,14,1.0,0.8,0.7,0.75,0.6,0.6666666666666666,8,0.0005,0.01,0.2
mechanism_driven,15,1.0,0.6799999999999999,0.5,0.5,0.4,0.4444444444444444,8,0.001,0.001,0.5
mechanism_driven,16,1.0,0.8,0.7,0.6666666666666666,0.8,0.7272727272727273,8,0.0005,0.01,0.2
mechanism_driven,17,0.9375,0.7200000000000001,0.7,0.6666666666666666,0.8,0.7272727272727273,8,0.001,0.001,0.5
mechanism_driven,18,1.0,0.88,0.8,1.0,0.6,0.75,12,0.0005,0.001,0.2
mechanism_driven,19,1.0,0.64,0.5,0.5,0.6,0.5454545454545454,8,0.0005,0.001,0.2
